"videoUrl","authorName","author/id","author/isCreator","author/isVerified","author/name","author/thumbnails/0/height","author/thumbnails/0/url","author/thumbnails/0/width","text","likes","timestamp"
,,"UC53R-mR5WmG_1sMjb9FJExg","false","false","@RUKUNGAWESENTOSO","88","https://yt3.ggpht.com/GerlEhBN9YjqbjT6akDaxcWwp2Kd5lChTo6QEYmjPOUm4QkRk7PG_7QV79_iJBtcQmpqF7c05A=s88-c-k-c0x00ffffff-no-rj","88","Bagus ditangkap..., ngapin klayapan ke negara orang yang sedang konplik.....",,
,,"UCt0k19_sZrFoIoMm7P0ckWw","false","false","@gagalm3f","88","https://yt3.ggpht.com/ytc/AIdro_nPwj0q1VHy1hUfYBo_7UXCY62L6t2c04mW5iTRSxRUchtXqPf1ay264TypekgYI4LUIg=s88-c-k-c0x00ffffff-no-rj","88","manusia2 cari muka bgtu langsung dibuang ke laut sj.di negri sndiri banyak yg melarat sok relawan ke negri org.matikan sj.",,
,,"UC7UNe1N5HRTyj8c1PdVBrDA","false","false","@thejoker49","88","https://yt3.ggpht.com/ytc/AIdro_mTM3I_J2ih6O_ventqDS1zxL7aVwUFw36WsAdUoadQlQ=s88-c-k-c0x00ffffff-no-rj","88","Ngapain juga org2 ini",,
,,"UCdnLz7nAlOqbZyWvvn25I1g","false","false","@djawadwipachannel5875","88","https://yt3.ggpht.com/S8jEFQcwazMY6Cbwe2SZmUxQBzJYXNdbGP0jm7aT3wygjD7fla5s20s5v9Cfun3UuisndIJYyA=s88-c-k-c0x00ffffff-no-rj","88","Lagian lg pd ngapain disana, kyk org2 yg kurang kerjaan aja 🙊🤣🤣🤣
Makanya fokus kerja, cari duit, ngapain repot2 dtg ke negara yg lg perang, kyk jagoan aja 🙉🙈
Dukung palestina bkn begitu caranya, msh bnyk cara lain.",,
,,"UCPJhZoGvd0g1q0VFcTYlifw","false","false","@elaeisguinensis3161","88","https://yt3.ggpht.com/fxJ106CGBiuKcRVM9cQwo7T507pY8TDh6lD4pQHF9Q_isRhQqAN48aXcJiqxo4Hqzp9BgRmTUA=s88-c-k-c0x00ffffff-no-rj","88","Diculik???? ha ha ha ha ha 
Siapa yang goblok...",,
,,"UCOeSvgUeXXjLEPMzIsKFyYg","false","false","@doraemon-ml7og","88","https://yt3.ggpht.com/ytc/AIdro_mbuKjqaDp0piKIeBhSqxIqAI7x5o5MZ_Mb-sSBfzC4a6U=s88-c-k-c0x00ffffff-no-rj","88","DATANG TAK DI UNDANG, SAAT BERHASIL JADI SOK HERO, SAAT GAGAL YA NARASI DI BANGUN LAH. APAKAH PALESTINA PEDULI DENGAN ANDA ?",,
,,"UCK0D1gpNF-cfbLWMp9mBCBA","false","false","@moshesiregar4139","88","https://yt3.ggpht.com/ytc/AIdro_mNkj4pW6jUvChG4gBzsrYlBtzdpsU-SuNMu6MPKVmDoCxY2_D05vAOfPJE2IATJUm0Sw=s88-c-k-c0x00ffffff-no-rj","88","Masuk zona perang,, yah beruntung klo bisa keluar dari zona perang itu masih hidup,,",,
,,"UCZQsIn1Atf3mKt0-mQDS5Zg","false","false","@studiobiangkala","88","https://yt3.ggpht.com/FgHEJe_6JiCK7KOt66ykqm-G2bRUZUmaoLgJV2ScYmOd-O6FwijozPTkdASyONqID4p7YlBZQPw=s88-c-k-c0x00ffffff-no-rj","88","diculik pa ditangkap...??",,
,,"UCXhKdkJurr9MBvCUwl2UTGQ","false","false","@kendykimbal7418","88","https://yt3.ggpht.com/ytc/AIdro_mecWnYm9YiZm0tb0Jd-a975_O3muvN6BBSaUFcDqU=s88-c-k-c0x00ffffff-no-rj","88","Maunya viral",,
,,"UCHqgsGmqSD7zCVC-MylUXsA","false","false","@louisemerlo","88","https://yt3.ggpht.com/EankUMUNFSWbRZu63C5BIs0thCf6aVqRjGrm6lf1eiIeyy3VljNmIMxfnJzW-czYSBG50C4mcA=s88-c-k-c0x00ffffff-no-rj","88","Waduh.. kebetulan Indonesia tdk ada hubungan diplomatik dengan Israel jadi yaa wasallam saja 🙏",,
,,"UCtvK4wy3crjkb13Owd5dK7Q","false","false","@LT.869","88","https://yt3.ggpht.com/tv0SSBE2jF-XYukt_k9ZQxrZUr8NCV-pNKlQ0oHDKTBUgnkwhhXBlYSH1dlDEcH0JprpkLbrE8I=s88-c-k-c0x00ffffff-no-rj","88","masuk untuk ngapain di medan konflik urusan negara org kok di campurin tu liat akibatnya tanggung sendiri😂😂😂",,
,,"UCYvpMqX144FfPDqCBZqy8UA","false","false","@AhmadBasuki-m1o1q","88","https://yt3.ggpht.com/ytc/AIdro_mIq3VHfPUrGhS9seKsJqeGzc2vC6doz0-nM2OENLkRxafGhMnaFzOjB0stCwcIPBngbw=s88-c-k-c0x00ffffff-no-rj","88","Masya ALLOH laquwata ila biLLAH 🤲🤲🤲💪💪💪👍👍👍",,
,,"UC3Hf-kRRwX3fShmgMjKmJVg","false","false","@edyjensenem5193","88","https://yt3.ggpht.com/ytc/AIdro_kJZjTdE9cKtD3niIQ_h5i0Day3VTecJTt6UVbyrzI=s88-c-k-c0x00ffffff-no-rj","88","SOKOR.....KOK MINTA BANTU PEMERINTAH😂😂😂😂",,
,,"UCXWbqEGysOTKrw-9FAv_0Sg","false","false","@loveYeshua-n7t","88","https://yt3.ggpht.com/iBkTwlPIeG4qA6z4-ThVtCTaJtzfQtYXtG_hn0c5sWVoR0lbgAooQYnxxaHLB9UUjgQaB1rQHfA=s88-c-k-c0x00ffffff-no-rj","88","Prihatin juga, tapi namanya usaha",,
,,"UCMCG7yWS56DpLeEvQkOZvXQ","false","false","@KusniYati-q8x","88","https://yt3.ggpht.com/ytc/AIdro_lWxs76FWK3zH4OnQKAfU05BzT8Ao-KUCqwhdh5X6s4POOHta4ToH0skn4tyf_yydneLw=s88-c-k-c0x00ffffff-no-rj","88","Hasbunallah wa nikmal wakil nikmal maula wa nikman nasir",,
,,"UCgPJM6UcmnwWCP3r0hebEGA","false","false","@runtuvaldy2970","88","https://yt3.ggpht.com/ytc/AIdro_mUHtdpu4XzzdxF2ymzSrvOvM9l8ZkWMxT3YZsPUIvCmZk=s88-c-k-c0x00ffffff-no-rj","88","Betah"" d sana yahh .😂",,
,,"UCDU6VtFOs5zQlQH2K9HvN2g","false","false","@Ciwie-f7m","88","https://yt3.ggpht.com/oLywDzBQnYpgZET30Xtjsm0O7qexDNwVO_ZU_EN62RQSXhCPruvf7Zc6_VquTlhfbcJbcpNu=s88-c-k-c0x00ffffff-no-rj","88","Judul menyesatkan...bukan di culik woiii..!!!...tapi ditangkap...itu daerah konflik ngapain kesana haah....!!!...",,
,,"UCUJX8o_5k5TnJn1QCT_4Gaw","false","false","@NununRohayati","88","https://yt3.ggpht.com/ytc/AIdro_nGeYh4-7xWgW6DckTvLxzkztWhki3wHKZvfiwhyygVMpsmB4doNmyVapsBxqo15mDYCQ=s88-c-k-c0x00ffffff-no-rj","88","Saya baca tapi pagi inì saya harus kerja..gak kerja gak makan",,
,,"UCGNUekw6j-VD6lDXRIGyS2Q","false","false","@Ucalucil1212","88","https://yt3.ggpht.com/jX0Q3Dz_4dtvQxBuYK_S34DBsPbZolXAVwpacXQ5fUxt9YloGg14iD-H0Ch3E-q-hXiFnEf5Ww=s88-c-k-c0x00ffffff-no-rj","88","Mas itu kameranya di zoom out lagi dong... shoot background sekelilingnya kayaknya itu di kamar nya bagus deh dekorasinya... mungkin lebih bagus dari pada kamar hotel bintang 2... Pake AC ga??? itu kayak bukan di culik trus dijebloskan, mungkin cuman diamankan... trus dikasih makan ga??? jangan bilang dikasih steak ama ayam lagi selama ditahan",,
,,"UC2S37_tPw5fZq6hqzor70Vw","false","false","@geng7166","88","https://yt3.ggpht.com/RSSShrGT1kfs4JsQuULt6uEG0kTe96hVO-zH4cQ2LNIfI54HO35rsOaHD2uBPjzLaqkf6NvC=s88-c-k-c0x00ffffff-no-rj","88","Sudah layak dan sepantas nya jika perlu cebur Khan ke lhautttt👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻😂",,
,,"UCMOUbMryGWoye4GPglucYfA","false","false","@jemalemtaguntingsuka3998","88","https://yt3.ggpht.com/ytc/AIdro_k4A7UBRjpHJd5pTJDS10pQ0oY8zU9MMO0YeawXUA4=s88-c-k-c0x00ffffff-no-rj","88","Harusnya ditenggelamkan,",,
,,"UCbH15Zzst0EOPXfqVVsNpGQ","false","false","@henrirotnedypardede4016","88","https://yt3.ggpht.com/ytc/AIdro_kQ70SUYIPRdvMpmawwFhYbLew2HuwHEs1DL8JWRrE=s88-c-k-c0x00ffffff-no-rj","88","Artikulasinya mohon diperbaiki,, yang saya dengar di kucil bukan di culik.",,
